[DEBUG | 2017-12-30 19:07:21,251] vote for self 
[DEBUG | 2017-12-30 19:07:21,717] vote for self 
[DEBUG | 2017-12-30 19:07:22,178] vote for self 
[DEBUG | 2017-12-30 19:07:22,532] vote for self 
[DEBUG | 2017-12-30 19:07:22,957] vote for self 
[DEBUG | 2017-12-30 19:07:23,473] vote for self 
[DEBUG | 2017-12-30 19:07:23,949] vote for self 
[DEBUG | 2017-12-30 19:07:24,319] vote for self 
[DEBUG | 2017-12-30 19:07:24,681] vote for self 
[DEBUG | 2017-12-30 19:07:25,101] vote for self 
[DEBUG | 2017-12-30 19:07:25,493] vote for self 
[DEBUG | 2017-12-30 19:07:25,934] vote for self 
[DEBUG | 2017-12-30 19:07:26,391] vote for self 
[DEBUG | 2017-12-30 19:07:26,796] vote for self 
[DEBUG | 2017-12-30 19:07:27,290] vote for self 
[DEBUG | 2017-12-30 19:07:27,798] vote for self 
[DEBUG | 2017-12-30 19:07:28,244] vote for self 
[DEBUG | 2017-12-30 19:07:28,653] vote for self 
[DEBUG | 2017-12-30 19:07:28,709] BackServer = 139.199.26.222 11001
[DEBUG | 2017-12-30 19:07:28,710] BackServer = 139.199.26.222 11002
[DEBUG | 2017-12-30 19:07:28,712] selfNginxName = localhost 9000
[DEBUG | 2017-12-30 19:07:28,713] DtbtNginx = localhost 9001
[DEBUG | 2017-12-30 19:07:28,714] DtbtNginx = localhost 9002
[DEBUG | 2017-12-30 19:07:28,715] lisCliName = localhost 11001
[DEBUG | 2017-12-30 19:07:28,720] AcceptNginx:19
[DEBUG | 2017-12-30 19:07:28,722] connect -> localhost 9001
[DEBUG | 2017-12-30 19:07:29,101] vote for self 
[DEBUG | 2017-12-30 19:07:29,102] vote for localhost 9000
[DEBUG | 2017-12-30 19:07:29,102] recv a vote for me
[DEBUG | 2017-12-30 19:07:29,105] ACK to Follower
[DEBUG | 2017-12-30 19:07:29,105] AckVote2FollowerRcve
[DEBUG | 2017-12-30 19:07:36,009] client request send to child 0
[DEBUG | 2017-12-30 19:07:36,009] connect a client:  fd=16
[DEBUG | 2017-12-30 19:07:36,011] 客服端请求来到 fd=16
